2014-07-16T02:15:48.178+0000: 22.717: [GC [PSYoungGen: 257728K->11214K(300608K)] 257728K->11222K(987584K), 0.0219910 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T02:15:52.420+0000: 26.959: [GC [PSYoungGen: 268942K->12513K(300608K)] 268950K->12529K(987584K), 0.0097480 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T02:15:55.222+0000: 29.761: [GC [PSYoungGen: 270241K->12609K(300608K)] 270257K->12633K(987584K), 0.0060380 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T02:15:57.582+0000: 32.120: [GC [PSYoungGen: 270337K->12945K(300608K)] 270361K->12977K(987584K), 0.0209340 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2014-07-16T02:16:00.269+0000: 34.807: [GC [PSYoungGen: 270673K->12849K(264192K)] 270705K->12889K(951168K), 0.0128130 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T02:16:02.632+0000: 37.170: [GC [PSYoungGen: 264177K->12929K(258176K)] 264217K->12977K(945152K), 0.0106710 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-16T02:16:04.505+0000: 39.044: [GC [PSYoungGen: 258113K->7557K(246848K)] 258161K->19266K(933824K), 0.0234080 secs] [Times: user=0.15 sys=0.02, real=0.02 secs] 
2014-07-16T02:16:05.963+0000: 40.501: [GC [PSYoungGen: 246723K->7086K(240640K)] 258433K->23291K(927616K), 0.0055510 secs] [Times: user=0.03 sys=0.02, real=0.00 secs] 
2014-07-16T02:16:07.404+0000: 41.943: [GC [PSYoungGen: 240622K->8532K(236608K)] 256827K->24865K(923584K), 0.0092420 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:08.896+0000: 43.434: [GC [PSYoungGen: 236562K->2129K(224896K)] 252895K->25069K(911872K), 0.0055480 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:10.278+0000: 44.816: [GC [PSYoungGen: 224849K->950K(218560K)] 247789K->25569K(905536K), 0.0045250 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T02:16:11.662+0000: 46.201: [GC [PSYoungGen: 218550K->598K(213312K)] 243169K->25839K(900288K), 0.0074210 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:13.096+0000: 47.635: [GC [PSYoungGen: 213269K->1612K(209536K)] 238510K->26957K(896512K), 0.0053430 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:14.460+0000: 48.999: [GC [PSYoungGen: 209463K->834K(211584K)] 234808K->26511K(898560K), 0.0075430 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:15.752+0000: 50.290: [GC [PSYoungGen: 204098K->630K(199424K)] 229775K->26411K(886400K), 0.0058420 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:17.003+0000: 51.541: [GC [PSYoungGen: 199414K->594K(208192K)] 225195K->26439K(895168K), 0.0049330 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:18.254+0000: 52.793: [GC [PSYoungGen: 195043K->516K(190912K)] 220888K->26457K(877888K), 0.0072470 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
