2014-07-16T08:51:08.799+0000: 23.862: [GC [PSYoungGen: 257728K->42877K(300608K)] 257728K->72321K(987584K), 0.0758470 secs] [Times: user=0.24 sys=0.04, real=0.08 secs] 
2014-07-16T08:51:09.708+0000: 24.771: [GC [PSYoungGen: 300605K->42855K(300608K)] 330049K->77939K(987584K), 0.0553220 secs] [Times: user=0.18 sys=0.02, real=0.06 secs] 
2014-07-16T08:51:10.751+0000: 25.814: [GC [PSYoungGen: 300583K->42854K(300608K)] 335667K->78739K(987584K), 0.0356820 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-16T08:51:11.677+0000: 26.740: [GC [PSYoungGen: 300582K->42875K(558336K)] 336467K->84284K(1245312K), 0.0625310 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-16T08:51:13.037+0000: 28.099: [GC [PSYoungGen: 558331K->42864K(558336K)] 599740K->87008K(1245312K), 0.1006410 secs] [Times: user=0.37 sys=0.02, real=0.10 secs] 
2014-07-16T08:51:14.412+0000: 29.474: [GC [PSYoungGen: 558320K->44024K(1100288K)] 602464K->88176K(1787264K), 0.0396630 secs] [Times: user=0.14 sys=0.02, real=0.04 secs] 
2014-07-16T08:51:17.166+0000: 32.229: [GC [PSYoungGen: 1074936K->12002K(1101696K)] 1119088K->88168K(1788672K), 0.0684720 secs] [Times: user=0.24 sys=0.03, real=0.07 secs] 
2014-07-16T08:51:19.619+0000: 34.682: [GC [PSYoungGen: 1042914K->8945K(2134976K)] 1119080K->87650K(2821952K), 0.0151990 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T08:51:24.130+0000: 39.192: [GC [PSYoungGen: 2067441K->7148K(2138304K)] 2146146K->87969K(2825280K), 0.0386180 secs] [Times: user=0.13 sys=0.02, real=0.04 secs] 
2014-07-16T08:51:28.514+0000: 43.577: [GC [PSYoungGen: 2065644K->6820K(2713152K)] 2146465K->87897K(3400128K), 0.0478950 secs] [Times: user=0.18 sys=0.01, real=0.05 secs] 
2014-07-16T08:51:34.112+0000: 49.174: [GC [PSYoungGen: 2638244K->6724K(2713792K)] 2719321K->88211K(3400768K), 0.0176160 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T08:51:39.691+0000: 54.754: [GC [PSYoungGen: 2638148K->6820K(2711744K)] 2719635K->88539K(3398720K), 0.0271340 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2014-07-16T08:51:45.336+0000: 60.398: [GC [PSYoungGen: 2638372K->6792K(2712832K)] 2720091K->88711K(3399808K), 0.0065810 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T08:51:50.888+0000: 65.950: [GC [PSYoungGen: 2638344K->6710K(2518464K)] 2720263K->88877K(3205440K), 0.0143120 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T08:51:56.205+0000: 71.267: [GC [PSYoungGen: 2518454K->6564K(2404480K)] 2600621K->88951K(3091456K), 0.0063190 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T08:52:01.323+0000: 76.386: [GC [PSYoungGen: 2404452K->6774K(2296448K)] 2486839K->89306K(2983424K), 0.0212720 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T08:52:06.184+0000: 81.246: [GC [PSYoungGen: 2296438K->6710K(2193536K)] 2378970K->89514K(2880512K), 0.0162770 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2014-07-16T08:52:10.874+0000: 85.936: [GC [PSYoungGen: 2193526K->6874K(2095936K)] 2276330K->89822K(2782912K), 0.0231580 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T08:52:15.314+0000: 90.377: [GC [PSYoungGen: 2095898K->6596K(2002752K)] 2178846K->89767K(2689728K), 0.0285930 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-16T08:52:19.570+0000: 94.632: [GC [PSYoungGen: 2002692K->6532K(1914304K)] 2085863K->89855K(2601280K), 0.0157920 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2014-07-16T08:52:23.649+0000: 98.712: [GC [PSYoungGen: 1914208K->6692K(1830400K)] 1997532K->90143K(2517376K), 0.0124650 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T08:52:27.566+0000: 102.629: [GC [PSYoungGen: 1830372K->6500K(1750336K)] 1913823K->90119K(2437312K), 0.0114310 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T08:52:31.293+0000: 106.356: [GC [PSYoungGen: 1750308K->6596K(1674560K)] 1833927K->90319K(2361536K), 0.0298820 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
