2014-07-16T14:03:34.457+0000: 24.644: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57742K(987584K), 0.0697280 secs] [Times: user=0.21 sys=0.04, real=0.07 secs] 
2014-07-16T14:03:34.788+0000: 24.975: [GC [PSYoungGen: 300592K->42870K(300608K)] 315470K->64101K(987584K), 0.0341170 secs] [Times: user=0.09 sys=0.03, real=0.03 secs] 
2014-07-16T14:03:35.726+0000: 25.914: [GC [PSYoungGen: 300598K->42870K(300608K)] 321829K->64613K(987584K), 0.0530730 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
2014-07-16T14:03:37.277+0000: 27.465: [GC [PSYoungGen: 300598K->42870K(558336K)] 322341K->64982K(1245312K), 0.0673740 secs] [Times: user=0.22 sys=0.03, real=0.07 secs] 
2014-07-16T14:03:40.016+0000: 30.204: [GC [PSYoungGen: 558326K->42848K(558336K)] 580438K->65063K(1245312K), 0.0517790 secs] [Times: user=0.15 sys=0.03, real=0.05 secs] 
2014-07-16T14:03:42.654+0000: 32.841: [GC [PSYoungGen: 558304K->43312K(1088576K)] 580519K->65527K(1775552K), 0.0596160 secs] [Times: user=0.21 sys=0.02, real=0.06 secs] 
2014-07-16T14:03:46.835+0000: 37.022: [GC [PSYoungGen: 1074224K->2596K(1089600K)] 1096439K->66061K(1776576K), 0.0665010 secs] [Times: user=0.22 sys=0.04, real=0.06 secs] 
2014-07-16T14:03:50.700+0000: 40.887: [GC [PSYoungGen: 1033508K->2212K(2124160K)] 1096973K->66037K(2811136K), 0.0071710 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T14:03:57.655+0000: 47.842: [GC [PSYoungGen: 2059620K->2368K(2128576K)] 2123445K->66521K(2815552K), 0.0222920 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-16T14:04:03.578+0000: 53.765: [GC [PSYoungGen: 2059776K->2116K(2720768K)] 2123929K->66925K(3407744K), 0.0081890 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:09.838+0000: 60.026: [GC [PSYoungGen: 2649412K->832K(2648128K)] 2714221K->66545K(3335104K), 0.0176750 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:15.716+0000: 65.904: [GC [PSYoungGen: 2648128K->1192K(2721984K)] 2713841K->67281K(3408960K), 0.0354300 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
2014-07-16T14:04:21.276+0000: 71.463: [GC [PSYoungGen: 2648424K->608K(2527296K)] 2714513K->67105K(3214272K), 0.0049360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:26.685+0000: 76.872: [GC [PSYoungGen: 2527264K->448K(2412480K)] 2593761K->67177K(3099456K), 0.0188040 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T14:04:31.805+0000: 81.992: [GC [PSYoungGen: 2412414K->384K(2374656K)] 2479143K->67409K(3061632K), 0.0091890 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T14:04:36.734+0000: 86.921: [GC [PSYoungGen: 2303488K->640K(2200192K)] 2370513K->67833K(2887168K), 0.0133200 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T14:04:41.383+0000: 91.570: [GC [PSYoungGen: 2200192K->448K(2168384K)] 2267385K->67945K(2855360K), 0.0107680 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T14:04:45.836+0000: 96.024: [GC [PSYoungGen: 2101568K->850K(2008448K)] 2169065K->68507K(2695424K), 0.0180880 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T14:04:50.082+0000: 100.269: [GC [PSYoungGen: 2008402K->534K(1980608K)] 2076059K->68423K(2667584K), 0.0136910 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-16T14:04:54.159+0000: 104.347: [GC [PSYoungGen: 1919190K->708K(1834880K)] 1987079K->68805K(2521856K), 0.0145550 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2014-07-16T14:04:58.050+0000: 108.237: [GC [PSYoungGen: 1834820K->690K(1810048K)] 1902917K->68931K(2497024K), 0.0130930 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-16T14:05:01.765+0000: 111.952: [GC [PSYoungGen: 1754418K->452K(1677824K)] 1822659K->68909K(2364800K), 0.0082520 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
