2014-07-08T03:04:44.578+0000: 23.209: [GC [PSYoungGen: 257728K->42871K(300608K)] 257728K->72698K(987584K), 0.1211010 secs] [Times: user=0.37 sys=0.05, real=0.12 secs] 
2014-07-08T03:04:46.733+0000: 25.365: [GC [PSYoungGen: 300599K->42851K(300608K)] 330426K->76048K(987584K), 0.1011570 secs] [Times: user=0.38 sys=0.02, real=0.10 secs] 
2014-07-08T03:04:48.298+0000: 26.929: [GC [PSYoungGen: 300579K->42876K(300608K)] 333776K->78309K(987584K), 0.0795820 secs] [Times: user=0.30 sys=0.01, real=0.08 secs] 
2014-07-08T03:04:50.050+0000: 28.681: [GC [PSYoungGen: 300582K->42851K(558336K)] 336014K->78794K(1245312K), 0.0941620 secs] [Times: user=0.35 sys=0.03, real=0.10 secs] 
2014-07-08T03:04:53.376+0000: 32.008: [GC [PSYoungGen: 558307K->42879K(558336K)] 594250K->79243K(1245312K), 0.0761280 secs] [Times: user=0.24 sys=0.02, real=0.08 secs] 
2014-07-08T03:04:56.317+0000: 34.948: [GC [PSYoungGen: 558335K->43088K(1100096K)] 594699K->79452K(1787072K), 0.0539790 secs] [Times: user=0.19 sys=0.03, real=0.05 secs] 
2014-07-08T03:05:01.909+0000: 40.540: [GC [PSYoungGen: 1073954K->4389K(1102080K)] 1110317K->78904K(1789056K), 0.0801850 secs] [Times: user=0.29 sys=0.03, real=0.08 secs] 
2014-07-08T03:05:05.989+0000: 44.620: [GC [PSYoungGen: 1035299K->3132K(2136192K)] 1109814K->79525K(2823168K), 0.0061030 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T03:05:13.177+0000: 51.808: [GC [PSYoungGen: 2061371K->1908K(2139776K)] 2137763K->78897K(2826752K), 0.0055920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T03:05:21.012+0000: 59.644: [GC [PSYoungGen: 2060148K->1940K(2711744K)] 2137137K->79458K(3398720K), 0.0127300 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T03:05:32.245+0000: 70.877: [GC [PSYoungGen: 2630248K->1968K(2510656K)] 2707766K->80254K(3197632K), 0.0097370 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T03:05:43.587+0000: 82.219: [GC [PSYoungGen: 2510640K->1300K(2396288K)] 2588926K->80065K(3083264K), 0.0060980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T03:05:54.361+0000: 92.993: [GC [PSYoungGen: 2396225K->1616K(2369344K)] 2474990K->80725K(3056320K), 0.0042900 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T03:06:04.743+0000: 103.375: [GC [PSYoungGen: 2288464K->1492K(2185664K)] 2367573K->81120K(2872640K), 0.0177670 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T03:06:14.640+0000: 113.272: [GC [PSYoungGen: 2185620K->1428K(2165120K)] 2265248K->81568K(2852096K), 0.0084760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T03:06:24.134+0000: 122.765: [GC [PSYoungGen: 2087892K->1524K(1995200K)] 2168032K->82159K(2682176K), 0.0124140 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-08T03:06:33.170+0000: 131.801: [GC [PSYoungGen: 1995141K->1698K(1978816K)] 2075776K->82773K(2665792K), 0.0054080 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T03:06:41.763+0000: 140.395: [GC [PSYoungGen: 1907106K->1492K(1823040K)] 1988181K->83015K(2510016K), 0.0191200 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T03:06:50.028+0000: 148.659: [GC [PSYoungGen: 1822996K->1520K(1809088K)] 1904519K->83555K(2496064K), 0.0165200 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T03:06:57.936+0000: 156.567: [GC [PSYoungGen: 1743280K->1520K(1667456K)] 1825315K->83915K(2354432K), 0.0510760 secs] [Times: user=0.15 sys=0.00, real=0.05 secs] 
2014-07-08T03:07:05.540+0000: 164.171: [GC [PSYoungGen: 1667440K->1552K(1654720K)] 1749835K->84298K(2341696K), 0.0070230 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T03:07:12.775+0000: 171.407: [GC [PSYoungGen: 1595344K->1236K(1526528K)] 1678090K->84326K(2213504K), 0.0127320 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T03:07:19.662+0000: 178.293: [GC [PSYoungGen: 1526484K->1236K(1514688K)] 1609574K->84558K(2201664K), 0.0360800 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
2014-07-08T03:07:26.325+0000: 184.956: [GC [PSYoungGen: 1461268K->1644K(1399680K)] 1544590K->85255K(2086656K), 0.0113860 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2014-07-08T03:07:32.666+0000: 191.298: [GC [PSYoungGen: 1399660K->1268K(1387648K)] 1483271K->85086K(2074624K), 0.0040570 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T03:07:38.761+0000: 197.392: [GC [PSYoungGen: 1340276K->1631K(1284544K)] 1424094K->85769K(1971520K), 0.0252540 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
