2014-07-08T04:14:24.719+0000: 22.935: [GC [PSYoungGen: 257728K->14267K(300608K)] 257728K->14275K(987584K), 0.0265540 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-08T04:14:29.423+0000: 27.639: [GC [PSYoungGen: 271995K->14979K(300608K)] 272003K->14995K(987584K), 0.0129620 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2014-07-08T04:14:31.321+0000: 29.537: [GC [PSYoungGen: 272707K->19270K(300608K)] 272723K->19294K(987584K), 0.0170940 secs] [Times: user=0.12 sys=0.01, real=0.02 secs] 
2014-07-08T04:14:33.121+0000: 31.337: [GC [PSYoungGen: 276998K->21567K(300608K)] 277022K->21599K(987584K), 0.0190250 secs] [Times: user=0.12 sys=0.01, real=0.02 secs] 
2014-07-08T04:14:34.855+0000: 33.070: [GC [PSYoungGen: 279295K->23914K(275264K)] 279327K->23946K(962240K), 0.0181840 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2014-07-08T04:14:36.562+0000: 34.777: [GC [PSYoungGen: 275242K->22371K(267584K)] 275274K->25092K(954560K), 0.0203180 secs] [Times: user=0.10 sys=0.02, real=0.02 secs] 
2014-07-08T04:14:38.033+0000: 36.248: [GC [PSYoungGen: 267555K->10257K(249536K)] 270276K->26197K(936512K), 0.0103140 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T04:14:39.581+0000: 37.796: [GC [PSYoungGen: 249489K->4945K(260096K)] 265429K->26619K(947072K), 0.0067660 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T04:14:40.721+0000: 38.937: [GC [PSYoungGen: 238481K->2521K(230592K)] 260155K->27133K(917568K), 0.0054980 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T04:14:41.764+0000: 39.979: [GC [PSYoungGen: 230553K->1694K(250688K)] 255165K->27748K(937664K), 0.0045430 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T04:14:42.856+0000: 41.072: [GC [PSYoungGen: 224414K->750K(218368K)] 250468K->27802K(905344K), 0.0049050 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:14:43.972+0000: 42.187: [GC [PSYoungGen: 218350K->636K(240768K)] 245402K->27984K(927744K), 0.0029310 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:14:44.993+0000: 43.208: [GC [PSYoungGen: 213308K->466K(208384K)] 240656K->27984K(895360K), 0.0051190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-08T04:14:45.851+0000: 44.067: [GC [PSYoungGen: 208338K->718K(230080K)] 235856K->28309K(917056K), 0.0037830 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
