2014-07-08T08:03:39.096+0000: 24.646: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57745K(987584K), 0.0648540 secs] [Times: user=0.22 sys=0.03, real=0.07 secs] 
2014-07-08T08:03:39.397+0000: 24.947: [GC [PSYoungGen: 300576K->42870K(300608K)] 315473K->64120K(987584K), 0.0626410 secs] [Times: user=0.21 sys=0.03, real=0.06 secs] 
2014-07-08T08:03:40.745+0000: 26.295: [GC [PSYoungGen: 300598K->42854K(300608K)] 321848K->64624K(987584K), 0.0669360 secs] [Times: user=0.25 sys=0.01, real=0.07 secs] 
2014-07-08T08:03:42.048+0000: 27.598: [GC [PSYoungGen: 300582K->42848K(558336K)] 322352K->65738K(1245312K), 0.0783150 secs] [Times: user=0.27 sys=0.03, real=0.07 secs] 
2014-07-08T08:03:44.010+0000: 29.559: [GC [PSYoungGen: 558249K->42854K(558336K)] 581139K->66224K(1245312K), 0.0556190 secs] [Times: user=0.19 sys=0.03, real=0.05 secs] 
2014-07-08T08:03:46.199+0000: 31.748: [GC [PSYoungGen: 558310K->43030K(1088832K)] 581680K->66401K(1775808K), 0.0787040 secs] [Times: user=0.26 sys=0.02, real=0.07 secs] 
2014-07-08T08:03:50.433+0000: 35.982: [GC [PSYoungGen: 1073942K->2344K(1089600K)] 1097313K->65828K(1776576K), 0.0667320 secs] [Times: user=0.24 sys=0.02, real=0.07 secs] 
2014-07-08T08:03:54.350+0000: 39.900: [GC [PSYoungGen: 1033256K->2614K(2124416K)] 1096740K->66546K(2811392K), 0.0167010 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:01.214+0000: 46.764: [GC [PSYoungGen: 2060150K->2290K(2128704K)] 2124082K->66582K(2815680K), 0.0266800 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-08T08:04:07.305+0000: 52.855: [GC [PSYoungGen: 2059826K->1878K(2720576K)] 2124118K->66794K(3407552K), 0.0060480 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:14.857+0000: 60.407: [GC [PSYoungGen: 2648918K->1618K(2648704K)] 2713834K->67166K(3335680K), 0.0074800 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T08:04:22.234+0000: 67.784: [GC [PSYoungGen: 2648658K->1718K(2721984K)] 2714206K->67754K(3408960K), 0.0080810 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:04:29.909+0000: 75.459: [GC [PSYoungGen: 2648950K->1590K(2528256K)] 2714986K->68066K(3215232K), 0.0083640 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:36.723+0000: 82.272: [GC [PSYoungGen: 2528246K->1600K(2413632K)] 2594722K->68444K(3100608K), 0.0046870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:42.643+0000: 88.192: [GC [PSYoungGen: 2413632K->1668K(2374400K)] 2480476K->69008K(3061376K), 0.0249370 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-08T08:04:48.093+0000: 93.642: [GC [PSYoungGen: 2304772K->1906K(2201472K)] 2372112K->69630K(2888448K), 0.0496220 secs] [Times: user=0.17 sys=0.01, real=0.05 secs] 
2014-07-08T08:04:52.581+0000: 98.131: [GC [PSYoungGen: 2201377K->1746K(2167936K)] 2269101K->69822K(2854912K), 0.0403410 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2014-07-08T08:04:56.665+0000: 102.214: [GC [PSYoungGen: 2102866K->1522K(2009088K)] 2170942K->70054K(2696064K), 0.0168140 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
