2014-07-08T21:13:01.466+0000: 23.604: [GC [PSYoungGen: 257728K->42871K(300608K)] 257728K->72605K(987584K), 0.0908810 secs] [Times: user=0.31 sys=0.04, real=0.09 secs] 
2014-07-08T21:13:03.786+0000: 25.924: [GC [PSYoungGen: 300599K->42877K(300608K)] 330333K->74472K(987584K), 0.0661620 secs] [Times: user=0.24 sys=0.02, real=0.07 secs] 
2014-07-08T21:13:05.232+0000: 27.370: [GC [PSYoungGen: 300605K->42874K(300608K)] 332200K->78586K(987584K), 0.0554370 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T21:13:06.851+0000: 28.989: [GC [PSYoungGen: 300602K->42860K(558336K)] 336314K->79404K(1245312K), 0.0522640 secs] [Times: user=0.17 sys=0.02, real=0.05 secs] 
2014-07-08T21:13:10.088+0000: 32.226: [GC [PSYoungGen: 558316K->42599K(558336K)] 594860K->79143K(1245312K), 0.0443720 secs] [Times: user=0.14 sys=0.02, real=0.04 secs] 
2014-07-08T21:13:19.597+0000: 41.735: [GC [PSYoungGen: 558055K->42850K(1099968K)] 594599K->79394K(1786944K), 0.0609420 secs] [Times: user=0.21 sys=0.03, real=0.06 secs] 
2014-07-08T21:13:31.890+0000: 54.028: [GC [PSYoungGen: 1073762K->6091K(1101824K)] 1110306K->80530K(1788800K), 0.0657790 secs] [Times: user=0.21 sys=0.04, real=0.07 secs] 
2014-07-08T21:13:46.720+0000: 68.859: [GC [PSYoungGen: 1036972K->5111K(2135872K)] 1111410K->82122K(2822848K), 0.0548170 secs] [Times: user=0.20 sys=0.00, real=0.06 secs] 
2014-07-08T21:14:13.225+0000: 95.363: [GC [PSYoungGen: 2063607K->5953K(1973056K)] 2140618K->83926K(2660032K), 0.0351370 secs] [Times: user=0.12 sys=0.02, real=0.04 secs] 
2014-07-08T21:14:40.092+0000: 122.230: [GC [PSYoungGen: 1972993K->3696K(1883840K)] 2050966K->83941K(2570816K), 0.0261700 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T21:15:04.657+0000: 146.795: [GC [PSYoungGen: 1883824K->2924K(1800448K)] 1964069K->85384K(2487424K), 0.0494050 secs] [Times: user=0.17 sys=0.00, real=0.05 secs] 
2014-07-08T21:15:29.064+0000: 171.202: [GC [PSYoungGen: 1800368K->2921K(1721856K)] 1882827K->86236K(2408832K), 0.0378370 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-08T21:15:57.754+0000: 199.892: [GC [PSYoungGen: 1721833K->3085K(1647360K)] 1805148K->87280K(2334336K), 0.0417160 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
2014-07-08T21:16:25.173+0000: 227.311: [GC [PSYoungGen: 1647309K->2790K(1576000K)] 1731504K->88041K(2262976K), 0.0186020 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2014-07-08T21:16:53.656+0000: 255.794: [GC [PSYoungGen: 1575969K->3116K(1508736K)] 1661220K->89391K(2195712K), 0.0297880 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
