2014-07-08T22:22:23.675+0000: 24.484: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57717K(987584K), 0.0741880 secs] [Times: user=0.26 sys=0.04, real=0.08 secs] 
2014-07-08T22:22:23.965+0000: 24.774: [GC [PSYoungGen: 300592K->42854K(300608K)] 315445K->64109K(987584K), 0.0576210 secs] [Times: user=0.19 sys=0.03, real=0.06 secs] 
2014-07-08T22:22:25.214+0000: 26.023: [GC [PSYoungGen: 300582K->42864K(300608K)] 321837K->64351K(987584K), 0.0537580 secs] [Times: user=0.21 sys=0.01, real=0.05 secs] 
2014-07-08T22:22:26.427+0000: 27.236: [GC [PSYoungGen: 300592K->42864K(558336K)] 322079K->65695K(1245312K), 0.0402620 secs] [Times: user=0.13 sys=0.02, real=0.04 secs] 
2014-07-08T22:22:28.617+0000: 29.425: [GC [PSYoungGen: 558320K->42870K(558336K)] 581151K->65989K(1245312K), 0.0494440 secs] [Times: user=0.16 sys=0.03, real=0.05 secs] 
2014-07-08T22:22:30.333+0000: 31.142: [GC [PSYoungGen: 558326K->43342K(1088576K)] 581445K->66461K(1775552K), 0.0720460 secs] [Times: user=0.26 sys=0.02, real=0.07 secs] 
2014-07-08T22:22:33.707+0000: 34.515: [GC [PSYoungGen: 1074254K->2276K(1089472K)] 1097373K->65853K(1776448K), 0.0869960 secs] [Times: user=0.32 sys=0.02, real=0.09 secs] 
2014-07-08T22:22:39.094+0000: 39.903: [GC [PSYoungGen: 1033188K->2450K(2124288K)] 1096765K->66451K(2811264K), 0.0240060 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T22:22:51.581+0000: 52.389: [GC [PSYoungGen: 2059888K->3378K(2128640K)] 2123889K->67771K(2815616K), 0.0364500 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-08T22:23:05.384+0000: 66.193: [GC [PSYoungGen: 2060850K->3990K(2721344K)] 2125243K->69255K(3408320K), 0.0542820 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T22:23:28.832+0000: 89.641: [GC [PSYoungGen: 2652054K->3396K(2722112K)] 2717319K->71269K(3409088K), 0.0436270 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
2014-07-08T22:23:46.572+0000: 107.381: [GC [PSYoungGen: 2651460K->2944K(2720832K)] 2719333K->72897K(3407808K), 0.0312580 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-08T22:24:03.007+0000: 123.816: [GC [PSYoungGen: 2651008K->2688K(2721472K)] 2720961K->74457K(3408448K), 0.0385110 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-08T22:24:20.510+0000: 141.319: [GC [PSYoungGen: 2650752K->2898K(2530368K)] 2722521K->76251K(3217344K), 0.0530410 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
2014-07-08T22:24:37.095+0000: 157.903: [GC [PSYoungGen: 2530322K->2770K(2415616K)] 2603675K->77739K(3102592K), 0.0272140 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T22:24:50.621+0000: 171.430: [GC [PSYoungGen: 2415570K->2628K(2306496K)] 2490539K->79165K(2993472K), 0.0107650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
