2014-07-08T19:58:28.871+0000: 22.518: [GC [PSYoungGen: 257728K->15282K(300608K)] 257728K->15290K(987584K), 0.0383930 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2014-07-08T19:58:32.845+0000: 26.492: [GC [PSYoungGen: 273010K->18737K(300608K)] 273018K->18753K(987584K), 0.0075880 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T19:58:33.963+0000: 27.610: [GC [PSYoungGen: 276465K->22869K(300608K)] 276481K->22885K(987584K), 0.0304570 secs] [Times: user=0.20 sys=0.01, real=0.03 secs] 
2014-07-08T19:58:35.347+0000: 28.994: [GC [PSYoungGen: 280597K->26055K(300608K)] 280613K->26079K(987584K), 0.0109350 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-08T19:58:36.612+0000: 30.259: [GC [PSYoungGen: 283783K->28445K(279808K)] 283807K->28469K(966784K), 0.0127050 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T19:58:37.882+0000: 31.529: [GC [PSYoungGen: 279773K->28496K(282048K)] 279797K->28528K(969024K), 0.0190280 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-08T19:58:39.236+0000: 32.883: [GC [PSYoungGen: 280272K->12176K(286208K)] 280304K->29541K(973184K), 0.0320530 secs] [Times: user=0.20 sys=0.02, real=0.04 secs] 
2014-07-08T19:58:40.712+0000: 34.359: [GC [PSYoungGen: 263952K->5202K(537280K)] 281317K->30226K(1224256K), 0.0077500 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T19:58:45.711+0000: 39.358: [GC [PSYoungGen: 507154K->4057K(489472K)] 532178K->31597K(1176448K), 0.0061100 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T19:58:50.000+0000: 43.647: [GC [PSYoungGen: 489403K->1801K(493248K)] 516942K->31156K(1180224K), 0.0068380 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T19:58:54.280+0000: 47.927: [GC [PSYoungGen: 471369K->1466K(455936K)] 500724K->31238K(1142912K), 0.0104440 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T19:58:58.448+0000: 52.095: [GC [PSYoungGen: 455930K->1608K(464192K)] 485702K->31388K(1151168K), 0.0048060 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:02.171+0000: 55.818: [GC [PSYoungGen: 441608K->1422K(427648K)] 471388K->31210K(1114624K), 0.0043370 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T19:59:06.003+0000: 59.650: [GC [PSYoungGen: 427598K->1454K(436544K)] 457386K->31242K(1123520K), 0.0104240 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:09.936+0000: 63.583: [GC [PSYoungGen: 414382K->1280K(401600K)] 444170K->31068K(1088576K), 0.0065620 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T19:59:13.791+0000: 67.438: [GC [PSYoungGen: 401536K->1238K(410368K)] 431324K->31034K(1097344K), 0.0074200 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:17.238+0000: 70.885: [GC [PSYoungGen: 389334K->1206K(377664K)] 419130K->31010K(1064640K), 0.0084580 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:20.741+0000: 74.388: [GC [PSYoungGen: 377654K->1284K(385856K)] 407458K->31088K(1072832K), 0.0051790 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:24.039+0000: 77.686: [GC [PSYoungGen: 366596K->1376K(356032K)] 396400K->31181K(1043008K), 0.0086000 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:27.101+0000: 80.748: [GC [PSYoungGen: 356000K->1330K(362816K)] 385805K->31134K(1049792K), 0.0100010 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:30.127+0000: 83.774: [GC [PSYoungGen: 345714K->1480K(336128K)] 375518K->31284K(1023104K), 0.0086710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:33.101+0000: 86.748: [GC [PSYoungGen: 336072K->1564K(341504K)] 365876K->31369K(1028480K), 0.0064990 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:36.112+0000: 89.759: [GC [PSYoungGen: 326748K->1434K(317632K)] 356553K->31238K(1004608K), 0.0099410 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:38.888+0000: 92.535: [GC [PSYoungGen: 317591K->1398K(321664K)] 347395K->31210K(1008640K), 0.0084770 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
