2014-07-28T19:34:04.707+0000: 7.084: [GC [PSYoungGen: 257728K->5059K(300608K)] 257728K->5067K(987584K), 0.0188420 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-28T19:34:08.518+0000: 10.896: [GC [PSYoungGen: 262787K->6290K(300608K)] 262795K->6306K(987584K), 0.0188050 secs] [Times: user=0.11 sys=0.03, real=0.02 secs] 
2014-07-28T19:34:11.042+0000: 13.420: [GC [PSYoungGen: 264018K->5682K(300608K)] 264034K->5706K(987584K), 0.0059710 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:12.690+0000: 15.068: [GC [PSYoungGen: 263375K->5712K(300608K)] 263399K->5744K(987584K), 0.0057610 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:14.427+0000: 16.805: [GC [PSYoungGen: 263440K->5746K(257088K)] 263472K->5786K(944064K), 0.0223920 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2014-07-28T19:34:16.132+0000: 18.510: [GC [PSYoungGen: 257074K->5616K(250816K)] 257114K->5656K(937792K), 0.0063490 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-28T19:34:17.801+0000: 20.179: [GC [PSYoungGen: 250800K->288K(239552K)] 250840K->5667K(926528K), 0.0095190 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:19.459+0000: 21.837: [GC [PSYoungGen: 239520K->192K(233728K)] 244899K->5631K(920704K), 0.0024240 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:21.063+0000: 23.441: [GC [PSYoungGen: 233728K->320K(228352K)] 239167K->5759K(915328K), 0.0032230 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:22.654+0000: 25.032: [GC [PSYoungGen: 228352K->352K(223104K)] 233791K->5791K(910080K), 0.0044240 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:24.208+0000: 26.586: [GC [PSYoungGen: 223072K->416K(218048K)] 228511K->5879K(905024K), 0.0024330 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:25.728+0000: 28.106: [GC [PSYoungGen: 218016K->320K(212992K)] 223479K->5863K(899968K), 0.0044630 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:27.214+0000: 29.592: [GC [PSYoungGen: 212992K->320K(208192K)] 218535K->5927K(895168K), 0.0018630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:28.673+0000: 31.051: [GC [PSYoungGen: 208192K->416K(203712K)] 213799K->6071K(890688K), 0.0031390 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:30.096+0000: 32.474: [GC [PSYoungGen: 203680K->352K(199168K)] 209335K->6023K(886144K), 0.0026300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:31.486+0000: 33.864: [GC [PSYoungGen: 199136K->384K(194880K)] 204807K->6135K(881856K), 0.0039870 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:32.851+0000: 35.229: [GC [PSYoungGen: 194880K->256K(190592K)] 200631K->6039K(877568K), 0.0055450 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:34.185+0000: 36.563: [GC [PSYoungGen: 190592K->256K(186560K)] 196375K->6071K(873536K), 0.0061590 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:35.492+0000: 37.870: [GC [PSYoungGen: 186560K->256K(189568K)] 192375K->6127K(876544K), 0.0031450 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-28T19:34:36.768+0000: 39.146: [GC [PSYoungGen: 182656K->352K(179008K)] 188527K->6279K(865984K), 0.0026220 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:38.035+0000: 40.413: [GC [PSYoungGen: 178976K->402K(181568K)] 184903K->6361K(868544K), 0.0025450 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
